ID_Jurnal,Kode_Jurnal,Nama_Jurnal,Penerbit,Bidang_Keilmuan
1,1041-4347,IEEE Transactions on Knowledge and Data Engineering,IEEE,Sains Data (Internasional)
2,2460-4259,Indonesian Journal of Computing and Cybernetics Systems,UGM,Sains Data (Nasional Sinta 2)
3,1092-0277,North American Actuarial Journal,Society of Actuaries,Sains Aktuaria (Internasional)
4,2477-0647,Media Statistika,Universitas Diponegoro,Sains Aktuaria (Nasional)
5,0025-326X,Marine Pollution Bulletin,Elsevier,Sains Lingkungan Kelautan (Internasional)
6,2087-9423,Jurnal Ilmu dan Teknologi Kelautan Tropis,IPB & ISOI,Sains Lingkungan Kelautan (Nasional)
7,2774-2067,"Jurnal Matematika, Komputasi, dan Statistika",ITERA,Matematika (Internal)
8,0022-247X,Journal of Mathematical Analysis and Applications,Elsevier,Matematika (Internasional)
9,2356-1599,Jurnal Geofisika Eksplorasi,ITERA,Fisika (Internal)
10,0021-8979,Journal of Applied Physics,AIP Publishing,Fisika (Internasional)
11,1411-9420,Indonesian Journal of Chemistry,UGM,Kimia (Nasional Sinta 1)
12,1410-8917,Jurnal Kimia Sains dan Aplikasi,Universitas Diponegoro,Kimia (Nasional)
13,1978-3019,HAYATI Journal of Biosciences,IPB,Biologi (Nasional)
14,0854-4425,Jurnal Biologi Indonesia,Perhimpunan Biologi Indonesia,Biologi (Nasional)
