ID_MK,Kode_MK,Nama_MK,SKS,Prodi_Nama,ID_Prodi
1213,MA1103,Matematika Dasar 1A,4,Sains Data,1
1214,FI1102,Fisika Dasar 1A,4,Sains Data,1
1215,KI1103,Kimia Dasar 1A,3,Sains Data,1
1216,BI1103,Biologi Dasar 1,2,Sains Data,1
1217,KU1106,Pengantar Komputer dan Software ,2,Sains Data,1
1218,KU1101,Bahasa Indonesia ,2,Sains Data,1
1219,KU1104,Olahraga,2,Sains Data,1
1220,MA1203,Matematika Dasar 2A,4,Sains Data,1
1221,FI1202,Fisika Dasar 2A,4,Sains Data,1
1222,KI1204,Kimia Dasar 2A,3,Sains Data,1
1223,KU1002,Bahasa Inggris,2,Sains Data,1
1224,KU1203,Lingkungan Hidup Sumatera,2,Sains Data,1
1225,KU1205,Pengantar Komputer dan Software 2,2,Sains Data,1
1226,SD2101,Aljabar Linear Elementer,3,Sains Data,1
1227,SD2102,Teori Peluang ,2,Sains Data,1
1228,SD2103,Logika dan Matematika Diskrit ,3,Sains Data,1
1229,SD2104,Struktur Data ,3,Sains Data,1
1230,SD2105,Analisis Data Statistika ,3,Sains Data,1
1231,SD2106,Algoritma Pemrograman ,3,Sains Data,1
1232,KU0009,Pancasila,2,Sains Data,1
1233,SD2201,Pemrograman Berorientasi Fungsi ,3,Sains Data,1
1234,SD2202,Rancangan Percobaan,3,Sains Data,1
1235,SD2203,Statistika Sains Data ,3,Sains Data,1
1236,SD2204,Metode Numerik ,3,Sains Data,1
1237,SD2206,Basis Data  ,3,Sains Data,1
1238,SD2207,Algoritma Strategi ,2,Sains Data,1
1239,KU0010,Kewarganegaraan ,2,Sains Data,1
1240,SD3101,Data Mining ,3,Sains Data,1
1241,SD3103,Komputasi Statistik ,3,Sains Data,1
1242,SD3104,Teori Optimasi ,3,Sains Data,1
1243,SD3106,Visualisasi Data dan Informasi ,3,Sains Data,1
1244,SD3107,Pembelajaran Mesin ,3,Sains Data,1
1245,SD3108,Kecerdasan Buatan ,3,Sains Data,1
1246,KU3001,Kuliah Kerja Nyata,2,Sains Data,1
1247,MA1103,Matematika Dasar 1A,4,Sains Aktuaria,9
1248,FI1102,Fisika Dasar 1A,4,Sains Aktuaria,9
1249,KI1103,Kimia Dasar 1A,3,Sains Aktuaria,9
