ID_Fakta_Akademik,ID_Mahasiswa,ID_MK,ID_Dosen ,ID_Waktu,Jumlah_SKS_Diambil ,Bobot_Nilai,Status_Lulus
 ,237,1427,199,20230316,2,0,Tidak Lulus
3,348,1462,103,20230521,2,1,Tidak Lulus
4,209,1436,234,20211121,2,2,Lulus
5,89,1275,201,20241107,3,0,Tidak Lulus
6,276,1354,180,20241008,2,3,Lulus
7,462,1231,10,20210319,3,2,Lulus
8,315,1434,101,20240613,3,3,Lulus
9,4,1392,164,20240112,2,1,Tidak Lulus
10,477,1430,149,20210109,3,1,Tidak Lulus
11,62,1326,181,20230510,3,3,Lulus
12,472,1234,194,20230119,3,2,Lulus
13,200,1506,175,20240609,2,0,Tidak Lulus
14,18,1339,250,20220725,3,3,Lulus
15,173,1485,231,20240406,4,2,Lulus
16,383,1337,198,20211017,3,1,Tidak Lulus
17,200,1250,170,20240321,2,3,Lulus
18,491,1482,56,20210421,2,2,Lulus
19,351,1263,15,20211017,3,1,Tidak Lulus
20,309,1418,147,20240525,3,2,Lulus
21,244,1494,137,20221026,1,1,Tidak Lulus
22,147,1300,224,20240723,2,4,Lulus
23,216,1432,240,20230821,3,4,Lulus
24,76,1389,150,20241012,2,1,Tidak Lulus
25,477,1404,96,20220603,3,2,Lulus
26,171,1374,139,20230227,2,4,Lulus
27,205,1269,199,20210320,3,3,Lulus
28,49,1358,66,20220322,2,3,Lulus
29,277,1344,18,20211009,3,4,Lulus
30,60,1388,128,20210606,1,1,Tidak Lulus
31,35,1401,3,20240606,2,3,Lulus
32,200,1262,177,20240111,3,2,Lulus
33,142,1215,139,20221004,3,0,Tidak Lulus
34,156,1236,173,20211019,3,1,Tidak Lulus
35,68,1292,207,20210202,2,1,Tidak Lulus
36,328,1509,158,20211119,4,3,Lulus
37,67,1448,65,20231107,2,4,Lulus
38,21,1272,197,20220918,3,4,Lulus
39,189,1504,93,20220321,4,1,Tidak Lulus
40,21,1488,138,20210909,2,0,Tidak Lulus
41,24,1418,20,20230815,3,1,Tidak Lulus
42,302,1395,242,20231123,2,1,Tidak Lulus
43,62,1227,185,20241015,2,0,Tidak Lulus
44,170,1455,131,20210223,2,3,Lulus
45,319,1249,196,20240519,3,3,Lulus
46,375,1424,39,20220926,3,0,Tidak Lulus
47,69,1303,79,20240716,2,1,Tidak Lulus
48,496,1362,147,20210420,4,3,Lulus
49,29,1273,100,20210627,2,1,Tidak Lulus
50,242,1271,184,20221204,3,3,Lulus
51,117,1419,11,20221101,3,3,Lulus
52,377,1353,24,20221212,4,3,Lulus
53,369,1307,242,20230119,3,2,Lulus
54,258,1389,5,20230518,2,4,Lulus
55,306,1510,232,20230801,4,4,Lulus
56,80,1417,170,20210402,3,3,Lulus
57,305,1430,104,20220914,3,0,Tidak Lulus
58,322,1291,194,20240108,2,4,Lulus
59,201,1274,64,20240627,2,4,Lulus
60,402,1291,193,20230113,2,1,Tidak Lulus
61,230,1498,188,20231124,4,0,Tidak Lulus
62,386,1469,246,20230327,3,2,Lulus
63,40,1236,212,20220808,3,2,Lulus
64,395,1375,91,20210108,3,3,Lulus
65,466,1215,232,20210910,3,4,Lulus
66,342,1261,244,20220708,3,0,Tidak Lulus
67,34,1509,117,20241011,4,3,Lulus
68,266,1342,173,20240120,3,3,Lulus
69,421,1350,52,20221107,2,4,Lulus
70,182,1321,170,20210216,3,2,Lulus
71,434,1490,216,20240422,3,0,Tidak Lulus
72,349,1308,221,20220119,3,3,Lulus
73,301,1428,192,20231019,2,2,Lulus
74,213,1311,199,20210728,2,4,Lulus
75,18,1222,27,20240408,3,1,Tidak Lulus
76,205,1312,215,20210222,2,0,Tidak Lulus
77,8,1479,190,20221113,3,0,Tidak Lulus
78,402,1444,96,20210626,3,1,Tidak Lulus
79,428,1398,129,20221210,3,0,Tidak Lulus
80,475,1223,244,20210115,2,0,Tidak Lulus
81,65,1302,91,20210803,2,2,Lulus
82,393,1270,37,20210916,3,2,Lulus
83,389,1477,28,20220101,2,1,Tidak Lulus
84,103,1425,112,20231108,2,4,Lulus
85,378,1388,78,20220521,1,4,Lulus
86,114,1350,204,20231024,2,4,Lulus
87,257,1414,247,20230405,2,0,Tidak Lulus
88,99,1305,3,20220914,4,3,Lulus
90,226,1443,47,20220423,2,4,Lulus
91,233,1223,36,20210818,2,1,Tidak Lulus
92,430,1242,84,20211104,3,2,Lulus
93,299,1473,8,20230215,3,4,Lulus
94,373,1322,154,20240825,3,4,Lulus
95,112,1383,176,20230703,3,0,Tidak Lulus
96,144,1320,222,20210628,3,3,Lulus
97,1,1296,116,20221222,3,0,Tidak Lulus
98,112,1380,13,20240611,2,4,Lulus
99,116,1423,87,20240526,3,1,Tidak Lulus
100,164,1488,125,20210618,2,1,Tidak Lulus
101,236,1425,161,20230828,2,2,Lulus
102,71,1322,18,20240409,3,0,Tidak Lulus
103,85,1497,66,20220128,4,0,Tidak Lulus
104,471,1449,7,20211220,2,3,Lulus
105,409,1227,94,20231202,2,3,Lulus
106,177,1468,100,20241020,3,2,Lulus
107,419,1474,38,20231120,3,4,Lulus
108,78,1440,92,20220605,3,1,Tidak Lulus
109,101,1267,104,20210122,2,2,Lulus
110,486,1509,145,20230118,4,2,Lulus
111,134,1424,84,20210427,3,2,Lulus
112,247,1451,68,20221107,4,0,Tidak Lulus
113,240,1361,10,20240913,4,0,Tidak Lulus
114,233,1486,194,20230805,2,4,Lulus
115,122,1263,164,20221206,3,1,Tidak Lulus
116,277,1281,79,20210312,4,3,Lulus
117,83,1429,27,20240114,3,1,Tidak Lulus
118,300,1341,86,20240222,3,3,Lulus
119,422,1255,163,20210503,3,0,Tidak Lulus
120,384,1358,79,20231102,2,1,Tidak Lulus
121,481,1245,188,20210811,3,3,Lulus
122,136,1287,97,20220406,4,0,Tidak Lulus
123,75,1332,48,20211205,3,3,Lulus
124,368,1237,38,20211011,3,2,Lulus
125,151,1504,184,20211210,4,0,Tidak Lulus
126,396,1479,8,20220116,3,2,Lulus
127,161,1448,30,20231107,2,0,Tidak Lulus
128,462,1482,11,20230520,2,0,Tidak Lulus
129,278,1311,219,20240705,2,1,Tidak Lulus
130,293,1377,169,20211014,3,1,Tidak Lulus
131,63,1365,90,20210710,4,3,Lulus
132,320,1504,91,20230627,4,4,Lulus
133,202,1350,107,20240617,2,0,Tidak Lulus
134,336,1308,113,20241012,3,4,Lulus
135,103,1272,3,20240315,3,2,Lulus
136,203,1240,201,20231124,3,4,Lulus
137,60,1470,186,20230112,3,0,Tidak Lulus
138,387,1282,69,20240222,4,4,Lulus
139,159,1215,148,20210428,3,0,Tidak Lulus
140,420,1459,167,20210701,3,2,Lulus
141,107,1475,95,20230225,3,3,Lulus
142,385,1417,123,20221126,3,0,Tidak Lulus
143,500,1458,131,20231205,4,3,Lulus
144,189,1495,227,20220826,2,1,Tidak Lulus
145,23,1322,86,20210624,3,3,Lulus
146,307,1423,53,20210715,3,3,Lulus
147,491,1476,165,20230813,2,4,Lulus
148,188,1505,82,20210203,4,0,Tidak Lulus
149,389,1329,142,20220313,4,3,Lulus
150,389,1467,155,20240822,3,0,Tidak Lulus
151,122,1427,49,20240710,2,3,Lulus
152,463,1503,81,20241119,4,0,Tidak Lulus
153,85,1463,71,20211213,2,3,Lulus
155,145,1338,17,20240726,3,2,Lulus
156,288,1506,175,20230317,2,4,Lulus
157,449,1370,200,20221222,4,4,Lulus
158,55,1415,173,20220107,2,3,Lulus
159,271,1304,108,20240816,2,0,Tidak Lulus
160,218,1507,192,20221003,4,0,Tidak Lulus
161,41,1333,242,20230913,2,1,Tidak Lulus
162,427,1390,32,20230926,2,4,Lulus
163,51,1215,65,20231201,3,2,Lulus
164,417,1408,113,20241110,2,0,Tidak Lulus
165,281,1487,163,20220215,2,0,Tidak Lulus
166,66,1457,1,20230822,4,0,Tidak Lulus
167,308,1273,193,20220820,2,1,Tidak Lulus
168,363,1389,143,20220106,2,3,Lulus
169,244,1495,74,20230721,2,3,Lulus
170,214,1316,190,20211217,3,1,Tidak Lulus
171,217,1372,195,20241228,3,2,Lulus
172,410,1285,220,20230421,2,4,Lulus
173,56,1460,205,20240223,2,4,Lulus
174,300,1484,246,20230828,4,3,Lulus
175,234,1269,225,20210518,3,1,Tidak Lulus
176,28,1216,11,20241214,2,0,Tidak Lulus
177,298,1255,140,20240727,3,1,Tidak Lulus
178,129,1489,152,20210919,3,1,Tidak Lulus
179,209,1302,83,20220218,2,3,Lulus
180,317,1230,198,20220108,3,1,Tidak Lulus
181,282,1384,23,20220608,2,4,Lulus
182,156,1343,115,20221205,2,1,Tidak Lulus
183,426,1281,157,20211224,4,2,Lulus
184,170,1476,72,20230120,2,3,Lulus
185,111,1477,145,20230104,2,1,Tidak Lulus
186,197,1460,83,20241005,2,3,Lulus
187,362,1399,173,20210606,3,4,Lulus
188,356,1444,104,20221120,3,0,Tidak Lulus
189,327,1271,77,20240924,3,4,Lulus
190,474,1303,19,20220911,2,4,Lulus
191,222,1214,224,20210811,4,1,Tidak Lulus
192,22,1261,207,20211228,3,3,Lulus
193,192,1313,194,20241106,3,2,Lulus
194,474,1369,55,20210325,4,1,Tidak Lulus
195,80,1239,13,20210725,2,0,Tidak Lulus
196,292,1293,248,20230327,2,1,Tidak Lulus
197,444,1336,175,20221028,3,4,Lulus
198,81,1328,242,20230618,3,4,Lulus
199,88,1356,170,20230405,4,2,Lulus
200,299,1384,137,20241101,2,4,Lulus
201,236,1442,202,20210714,3,0,Tidak Lulus
202,286,1303,182,20220710,2,0,Tidak Lulus
203,203,1321,37,20210202,3,0,Tidak Lulus
204,390,1291,74,20230127,2,3,Lulus
205,124,1358,90,20240805,2,4,Lulus
206,383,1420,88,20210514,2,1,Tidak Lulus
207,427,1461,95,20210825,2,3,Lulus
208,363,1369,2,20230411,4,2,Lulus
209,209,1295,109,20211017,4,2,Lulus
210,317,1218,88,20241202,2,0,Tidak Lulus
211,54,1268,79,20221208,3,0,Tidak Lulus
212,10,1278,114,20230227,3,1,Tidak Lulus
213,447,1315,58,20220612,3,1,Tidak Lulus
214,35,1340,164,20230120,2,4,Lulus
215,460,1281,213,20230523,4,4,Lulus
217,373,1218,105,20240606,2,1,Tidak Lulus
218,13,1464,94,20231223,3,1,Tidak Lulus
219,209,1356,139,20240617,4,2,Lulus
220,201,1476,85,20241206,2,3,Lulus
221,367,1250,13,20221101,2,4,Lulus
222,451,1439,83,20221008,3,3,Lulus
223,483,1501,44,20220519,2,1,Tidak Lulus
224,45,1406,84,20230605,2,2,Lulus
225,482,1355,87,20210128,4,2,Lulus
226,112,1484,194,20230912,4,4,Lulus
227,198,1343,201,20230228,2,2,Lulus
228,329,1380,157,20240911,2,4,Lulus
229,238,1398,245,20220420,3,3,Lulus
