ID_Fakta_Publikasi,ID_Dosen,ID_Jurnal,ID_Waktu,Jumlah_Sitasi,Jumlah_Publikasi
1,136,3,20210810,86,5
2,157,5,20230202,95,4
3,217,3,20220713,81,4
4,138,8,20240621,75,4
5,52,11,20221114,37,1
6,194,11,20230928,60,3
7,55,11,20211128,78,5
8,228,5,20210906,73,2
9,215,9,20230108,48,2
10,228,10,20241212,33,1
11,45,12,20210524,82,2
12,246,8,20210822,58,2
13,159,8,20221125,35,1
14,26,12,20230603,42,5
15,86,6,20211002,4,2
16,26,9,20230315,90,1
17,26,8,20230221,19,2
18,192,10,20240925,6,2
19,111,14,20240224,6,4
20,158,10,20210610,66,4
21,45,7,20210822,6,2
22,42,10,20210624,53,1
23,156,9,20240415,93,4
24,171,11,20220421,77,2
25,25,4,20210401,96,3
26,246,9,20210802,58,2
27,221,13,20241225,42,5
28,151,5,20230720,24,1
29,56,6,20230523,54,2
30,176,11,20241221,6,1
31,230,1,20230126,24,1
32,40,4,20230518,58,3
33,164,2,20221105,97,2
34,152,12,20230217,95,3
35,247,1,20240312,35,2
36,70,1,20231219,65,5
37,67,9,20220124,72,3
38,164,14,20230825,54,2
39,63,14,20240502,97,2
40,126,2,20220301,92,3
41,144,5,20220121,83,1
42,132,2,20210323,58,4
43,51,6,20230115,1,3
44,38,9,20210410,98,1
45,176,8,20241210,24,2
46,169,12,20221108,86,5
47,14,3,20241010,2,3
48,248,4,20210901,22,4
49,47,4,20220910,91,3
50,30,14,20210617,44,5
51,108,6,20241201,3,4
52,150,7,20231206,97,1
53,100,3,20210116,1,2
54,83,13,20230812,40,4
55,44,8,20221223,55,3
56,36,10,20240816,51,2
57,182,3,20210906,62,4
58,232,12,20240916,60,3
59,182,12,20240815,4,3
60,37,14,20240713,64,2
61,174,6,20231102,49,3
62,86,12,20220725,20,4
63,132,12,20211004,98,2
64,207,7,20240910,16,3
65,80,6,20220219,85,4
66,237,3,20210417,57,3
67,41,11,20220424,13,4
68,75,10,20220302,95,2
69,79,13,20240521,13,4
70,90,7,20210119,25,2
71,163,4,20220925,41,4
72,67,6,20221009,20,1
73,167,6,20211213,95,3
74,215,5,20220904,46,5
75,173,12,20220317,35,3
76,138,5,20210224,29,1
77,137,13,20210520,65,2
78,94,8,20220727,36,1
79,201,3,20210920,51,4
80,202,14,20240314,42,1
81,216,3,20241203,84,1
82,71,6,20231002,41,5
83,137,12,20220325,39,5
84,15,14,20210514,3,2
85,188,4,20241208,89,4
86,188,13,20231216,5,4
87,157,5,20221115,17,4
88,172,13,20230605,58,5
89,92,3,20240525,82,2
90,50,4,20231011,92,4
91,106,11,20230317,66,3
92,144,10,20210414,60,2
93,246,4,20210116,79,4
94,132,8,20240306,49,5
95,216,13,20210113,86,5
96,226,2,20210107,73,1
97,160,8,20240628,2,1
98,154,1,20240625,33,4
99,81,8,20210814,39,4
100,201,7,20230325,80,5
101,80,7,20210418,58,2
102,221,10,20221127,76,2
103,40,14,20221208,88,5
104,181,12,20230518,33,3
105,58,2,20231015,30,1
106,69,14,20220627,83,5
107,51,13,20210109,66,5
108,50,3,20210205,68,5
109,22,3,20240828,39,1
110,134,13,20240412,93,5
111,110,10,20210715,40,3
112,138,5,20210908,91,4
113,156,4,20221018,47,1
114,47,11,20240308,21,3
115,87,4,20240105,60,3
116,30,3,20230708,38,2
117,94,14,20210810,43,4
118,123,8,20240724,19,4
119,126,5,20240216,7,1
120,196,6,20231025,16,3
121,211,4,20210810,52,2
122,181,4,20220519,18,1
123,23,14,20211013,82,2
124,70,6,20230711,77,3
125,213,7,20240709,45,1
126,173,7,20240121,63,3
127,93,9,20240404,19,1
128,170,4,20240511,98,3
129,62,14,20210127,72,2
130,139,4,20240916,36,4
131,73,6,20241216,4,5
132,68,13,20210522,31,4
133,52,9,20230406,28,3
134,141,4,20210820,49,3
135,84,3,20220318,34,5
136,212,1,20210424,27,1
137,159,13,20220211,29,4
138,129,10,20240917,62,4
139,223,10,20230517,19,3
140,161,14,20230711,28,1
141,162,2,20231128,28,5
142,156,13,20240314,74,3
143,135,12,20240709,46,3
144,163,14,20220303,74,5
145,3,4,20210106,19,2
146,234,8,20210209,66,4
147,55,3,20210607,53,1
148,77,11,20230202,37,4
149,98,5,20221203,28,2
150,25,7,20221022,66,2
151,113,11,20240815,73,1
152,164,5,20230804,99,5
153,231,2,20220917,34,3
154,130,10,20220406,10,2
155,97,13,20241011,48,1
156,191,5,20211126,94,3
157,14,2,20210109,11,1
158,103,13,20230426,97,2
159,56,3,20240416,96,1
160,5,2,20240725,70,3
161,100,2,20210701,54,1
162,226,4,20221105,63,4
163,135,2,20230315,20,1
164,197,9,20210220,24,1
165,147,9,20241216,25,3
166,70,13,20211023,92,2
167,83,2,20230219,45,2
168,221,7,20220526,26,2
169,143,7,20230905,67,2
170,119,5,20220621,9,3
171,124,12,20230328,26,4
172,96,9,20210304,42,5
173,222,14,20230328,49,4
174,35,3,20240525,23,3
175,181,9,20240119,13,5
176,34,14,20210726,29,4
177,24,13,20230222,1,3
178,182,9,20220424,61,5
179,137,4,20220313,2,2
180,66,5,20231124,45,2
181,219,1,20210214,2,4
182,56,9,20230805,74,3
183,83,2,20220506,87,1
184,106,6,20240807,98,4
185,41,6,20220722,83,4
186,134,11,20221013,87,3
187,34,5,20211224,32,5
188,32,12,20230113,61,3
189,49,7,20210423,55,2
190,86,13,20221019,75,1
191,170,1,20210302,96,3
192,8,13,20240127,58,1
193,185,5,20220913,67,1
194,172,1,20230211,30,3
195,14,7,20211008,27,3
196,60,6,20220214,98,1
197,85,1,20220301,25,3
198,121,3,20211014,44,2
199,4,8,20230322,26,1
200,181,2,20230127,67,5
201,165,12,20231202,42,4
202,3,12,20240824,35,5
203,248,8,20230201,48,4
204,58,11,20230208,40,3
205,89,13,20220203,71,5
206,196,12,20220708,55,5
207,234,4,20220503,42,1
208,75,1,20210427,62,1
209,123,8,20221206,8,2
210,135,9,20240110,54,2
211,75,6,20220528,79,4
212,112,11,20221121,1,1
213,73,6,20221215,83,3
214,62,3,20220404,10,4
215,237,12,20211102,5,1
216,170,11,20220325,41,3
217,127,8,20241020,59,4
218,121,1,20210308,40,5
219,229,1,20221125,63,5
220,94,3,20220626,66,4
221,116,2,20231204,4,3
222,30,2,20240325,45,3
223,220,13,20210914,73,4
224,106,2,20221125,94,3
225,166,10,20220228,50,5
226,56,14,20241113,47,2
227,108,13,20240725,73,1
228,233,7,20220128,43,2
229,221,4,20211223,53,2
230,99,10,20240312,11,1
231,84,2,20220928,32,5
232,168,11,20240216,66,3
233,216,7,20230510,48,1
234,137,11,20230712,9,4
235,36,4,20221012,2,1
236,189,12,20230426,65,1
237,221,9,20230622,81,2
238,159,12,20210909,84,1
239,199,8,20211111,0,2
240,201,10,20240826,28,4
241,164,6,20210313,32,4
242,233,13,20220304,79,2
243,125,8,20210928,97,3
244,62,10,20230225,34,1
245,181,7,20230308,7,1
246,90,13,20230114,19,4
247,173,8,20220824,2,1
248,206,11,20230815,23,1
249,244,12,20220622,81,1
250,166,2,20210705,20,2
251,132,3,20240709,95,3
252,250,4,20231210,53,1
253,237,3,20210302,56,5
254,146,5,20220408,82,3
255,10,12,20211016,0,3
256,32,2,20240718,77,2
257,181,7,20241101,9,1
258,212,2,20211128,77,3
259,204,3,20220218,15,3
260,67,14,20240911,11,5
261,140,14,20220123,50,1
262,176,1,20240917,42,4
263,222,10,20211216,16,4
264,87,12,20210710,88,4
265,156,14,20231114,53,1
266,174,5,20211020,64,2
267,75,7,20220228,35,1
268,244,5,20231205,96,4
269,151,12,20220308,70,5
270,31,4,20210411,15,1
271,21,13,20230708,87,2
272,155,11,20230521,71,3
273,96,12,20220306,25,4
274,166,9,20240124,91,4
275,238,13,20230717,17,4
276,195,12,20230401,17,2
277,167,14,20220201,74,1
278,33,9,20210211,44,5
279,200,9,20241221,31,4
280,126,10,20210102,58,5
281,175,14,20231004,41,1
282,122,6,20220907,59,5
283,153,13,20210205,11,3
284,105,14,20230326,74,1
285,222,7,20230616,22,1
286,217,1,20240216,42,2
287,54,4,20230124,38,1
288,23,1,20241004,75,2
289,30,14,20231118,10,5
290,97,10,20220719,32,5
291,184,5,20240122,4,5
292,16,11,20230322,46,5
293,174,9,20241001,9,3
294,112,1,20210210,64,2
295,210,2,20230123,25,1
296,73,10,20230812,13,5
297,102,12,20240214,42,1
298,42,6,20230501,46,2
299,16,4,20220817,12,2
300,146,13,20241123,34,5
301,182,2,20210113,59,3
302,234,14,20230216,13,5
303,149,7,20231107,45,1
304,160,7,20230628,71,5
305,135,11,20240925,0,1
306,83,13,20231109,59,2
307,72,2,20240426,21,1
308,154,5,20230921,89,4
309,44,14,20220901,48,1
310,196,3,20210726,20,1
311,229,5,20210219,88,3
312,193,4,20210721,28,5
313,45,9,20230402,69,3
314,215,6,20220826,62,5
315,92,13,20210607,88,3
316,154,3,20240702,22,3
317,114,7,20241211,95,5
318,57,5,20220921,70,1
319,81,7,20211116,17,3
320,241,3,20220609,85,3
321,187,14,20231227,89,5
322,44,14,20231009,44,1
323,226,10,20240419,51,3
324,11,7,20230507,52,1
325,196,11,20240617,10,2
326,225,5,20241204,35,3
327,211,8,20221006,50,5
328,111,14,20230322,1,2
329,44,2,20230814,2,4
330,155,1,20220308,61,4
331,179,10,20240602,58,4
332,75,4,20230704,64,4
333,242,1,20211121,31,4
334,151,12,20220810,98,5
335,173,5,20211102,81,3
336,196,9,20210220,99,4
337,155,13,20210803,38,2
338,229,13,20221216,34,5
339,16,2,20231117,58,2
340,203,14,20221106,60,2
341,172,1,20240909,56,4
342,238,5,20210102,2,4
343,248,8,20230216,24,1
344,110,10,20230111,10,1
345,76,4,20210712,95,1
346,246,3,20230219,76,4
347,37,4,20220105,3,1
348,247,9,20210723,49,1
349,82,3,20241218,3,4
350,72,12,20231118,43,5
351,206,10,20210623,21,2
352,196,5,20211219,86,4
353,172,5,20230723,83,2
354,40,8,20210320,59,5
355,157,1,20210126,63,5
356,59,13,20221203,10,1
357,200,10,20220126,77,1
358,169,6,20240623,2,4
359,169,4,20220617,3,1
360,249,4,20220211,76,2
361,29,3,20210621,20,4
362,238,9,20210901,60,1
363,80,2,20220518,78,5
364,64,2,20210908,65,2
365,180,14,20221224,7,2
366,234,12,20221216,20,5
367,111,10,20240625,23,5
368,171,7,20210303,76,1
369,166,11,20210217,46,2
370,213,9,20231006,72,3
371,237,11,20220411,96,1
372,242,10,20210807,2,5
373,179,11,20230705,70,4
374,174,6,20230528,6,1
375,110,12,20230112,78,5
376,44,14,20230116,51,4
377,119,5,20221215,48,4
378,179,13,20240517,91,3
379,137,8,20210107,67,5
380,31,7,20240807,42,1
381,154,3,20220616,3,4
382,32,11,20211225,62,4
383,61,4,20240109,79,3
384,7,6,20230828,61,2
385,27,12,20230307,39,4
386,31,7,20230313,74,3
387,219,10,20220214,30,1
388,155,4,20240716,4,5
389,115,9,20240104,0,2
390,68,2,20220213,37,3
391,170,6,20231106,12,3
392,11,5,20211113,82,1
393,10,1,20230823,4,2
394,82,4,20221121,23,4
395,249,4,20231125,82,4
396,143,1,20210409,89,5
397,168,14,20240712,0,5
398,14,5,20210408,53,2
399,8,7,20231128,42,5
400,172,13,20230226,86,1
401,155,3,20231023,56,2
402,228,3,20220728,0,2
403,170,7,20210515,83,5
404,212,7,20220818,99,5
405,158,9,20230922,92,2
406,222,3,20240805,9,5
407,111,9,20230119,45,4
408,130,6,20240126,58,1
409,26,10,20210708,19,3
410,69,4,20231108,9,4
411,201,3,20221119,53,2
412,84,8,20210318,84,2
413,43,7,20241120,37,2
414,247,9,20211018,10,5
415,210,11,20220717,30,4
416,204,4,20220304,56,4
417,57,13,20240713,5,5
418,214,14,20221010,29,1
419,170,10,20210611,3,2
420,200,1,20240113,11,4
421,28,14,20220219,79,5
422,65,1,20220407,33,3
423,37,3,20231023,88,1
424,113,8,20220610,44,2
425,64,7,20220227,81,2
426,188,11,20231026,66,4
427,3,14,20240618,95,3
428,164,14,20240320,56,1
429,44,10,20220507,19,5
430,236,7,20220703,47,5
431,235,2,20210913,31,4
432,160,13,20240901,78,4
433,199,2,20240227,70,3
434,102,14,20210407,80,4
435,130,4,20211005,55,1
436,248,2,20211027,27,2
437,196,10,20240325,6,2
438,101,3,20220103,29,5
439,143,5,20210527,56,5
440,92,7,20230806,92,4
441,165,4,20240217,97,2
442,122,7,20221128,77,5
443,188,13,20230225,47,5
444,16,5,20240717,49,3
445,15,10,20220624,22,1
446,2,8,20240309,39,1
447,154,14,20211208,7,4
448,199,10,20230312,15,1
449,83,7,20220322,22,3
450,161,11,20210116,44,1
451,24,6,20210619,43,3
452,86,11,20210828,77,3
453,93,1,20231224,56,3
454,136,7,20220712,47,2
455,224,11,20220203,59,1
456,117,11,20220105,35,4
457,201,11,20230815,69,3
458,61,11,20231117,98,4
459,173,11,20210812,65,1
460,88,13,20220205,43,3
461,82,2,20221210,46,5
462,74,5,20230524,65,4
463,87,9,20211223,23,5
464,182,13,20220622,18,4
465,143,12,20230127,2,4
466,173,9,20210103,49,4
467,233,10,20220410,12,2
468,10,5,20220206,65,3
469,172,10,20211022,54,1
470,39,2,20220925,18,4
471,35,10,20230219,64,3
472,38,14,20230424,47,2
473,108,9,20241010,61,4
474,43,13,20221215,82,2
475,218,6,20230917,70,2
476,82,14,20221026,0,4
477,82,1,20210406,46,1
478,170,12,20210923,3,4
479,224,6,20240915,63,4
480,53,12,20240615,25,4
481,230,6,20240810,3,5
482,63,1,20211123,90,1
483,77,8,20221208,90,3
484,243,2,20230711,47,5
485,57,7,20211120,37,3
486,165,13,20221112,49,1
487,112,5,20211001,28,2
488,201,4,20210513,91,1
489,178,10,20211109,10,2
490,56,3,20220715,22,5
491,74,14,20220315,86,4
492,34,13,20230624,11,1
493,241,2,20240111,32,5
494,86,14,20241123,33,4
495,82,12,20220909,92,5
496,45,12,20230309,78,4
497,154,2,20220617,78,1
498,27,9,20230102,50,4
499,215,5,20220602,91,2
500,97,7,20231007,87,1
501,16,10,20231217,19,5
502,250,1,20240120,9,3
503,122,9,20230622,45,3
504,40,12,20210303,85,1
505,227,1,20210726,67,1
506,47,1,20230428,67,4
507,86,10,20230928,43,5
508,217,9,20240304,46,1
509,223,9,20221211,7,4
510,84,5,20241028,73,1
511,222,14,20240420,31,1
512,246,12,20220725,18,5
513,236,11,20220103,58,3
514,51,11,20231103,76,1
515,70,2,20241102,49,2
516,117,4,20231108,73,5
517,82,12,20211028,13,5
518,140,10,20230111,97,5
519,215,3,20241213,88,5
520,206,4,20221113,42,1
521,175,7,20240720,68,1
522,24,11,20230508,34,2
523,24,10,20220813,88,3
524,54,6,20240201,50,5
525,125,6,20221215,39,4
526,235,5,20220809,46,2
527,167,11,20240110,89,1
528,131,3,20210511,55,1
529,24,13,20220516,37,4
530,148,12,20220715,57,2
531,153,14,20231119,42,5
532,99,8,20210807,15,2
533,222,3,20220401,21,3
534,84,9,20220314,68,1
535,83,5,20231016,60,3
536,124,10,20230415,34,5
537,24,13,20230216,96,5
538,101,13,20211124,66,2
539,128,12,20220318,68,4
540,210,6,20241205,29,4
541,200,3,20210226,45,3
542,163,13,20220822,47,3
543,43,2,20220213,91,4
544,142,10,20240813,17,4
545,120,11,20241218,76,3
546,14,2,20210808,13,3
547,45,1,20220816,39,3
548,186,2,20240616,57,4
549,14,3,20220915,26,3
550,18,7,20220502,69,1
551,213,2,20230224,73,1
552,207,6,20221005,51,5
553,167,9,20221114,77,5
554,238,4,20240428,20,1
555,165,3,20211003,40,1
556,38,4,20240102,93,4
557,246,4,20241108,81,5
558,130,14,20230508,89,5
559,171,3,20230724,51,2
560,243,11,20240507,10,1
561,243,3,20220123,63,4
562,162,13,20241208,40,2
563,190,14,20210101,13,3
564,37,4,20210816,72,1
565,224,6,20230101,68,3
566,142,11,20220405,15,3
567,7,12,20220316,2,1
568,157,14,20240825,99,3
569,68,5,20241022,96,1
570,191,5,20210919,73,2
571,187,2,20220117,47,2
572,33,11,20230116,61,1
573,156,3,20210624,39,3
574,208,14,20220112,66,4
575,139,4,20211010,92,1
576,182,9,20240601,73,1
577,214,1,20230817,83,1
578,161,14,20220527,55,1
579,153,6,20210715,6,1
580,153,14,20220611,21,4
581,42,12,20220506,48,4
582,70,11,20210627,96,5
583,8,6,20210228,87,2
584,223,1,20221028,63,3
585,96,14,20240923,58,1
586,175,13,20210208,87,5
587,212,6,20240916,19,1
588,63,4,20220927,33,3
589,38,8,20230223,34,4
590,45,3,20240327,49,2
591,48,11,20241008,55,4
592,227,14,20230910,21,3
593,85,2,20240707,55,2
594,234,4,20241212,4,1
595,157,2,20210310,81,5
596,175,4,20240624,39,1
597,2,9,20230420,47,4
598,134,1,20210412,89,4
599,24,6,20220111,36,4
600,206,4,20230925,77,5
601,187,11,20221104,8,3
602,25,10,20210216,6,5
603,151,5,20210217,82,4
604,13,5,20220318,58,1
605,2,11,20220716,25,1
606,87,4,20240526,28,4
607,242,2,20240817,51,4
608,168,3,20240427,87,1
609,236,1,20230219,58,5
610,45,13,20241006,64,1
611,14,10,20210117,69,1
612,14,12,20210527,4,5
613,27,7,20240719,10,2
614,238,1,20220306,32,5
615,84,4,20231226,5,2
616,232,1,20220202,48,5
617,48,10,20220127,85,4
618,61,6,20231213,73,5
619,248,7,20220901,96,1
620,55,7,20241020,87,3
621,46,5,20240519,33,5
622,169,12,20210727,88,2
623,206,6,20210907,49,5
624,245,11,20231024,34,3
625,44,11,20240705,24,3
626,148,9,20211016,5,3
627,130,3,20231022,25,2
628,171,10,20240621,48,4
629,209,1,20240717,18,2
630,18,10,20210312,62,5
631,52,8,20210517,97,5
632,206,4,20230816,0,1
633,12,6,20221117,36,5
634,188,2,20210905,15,4
635,239,9,20210103,75,2
636,62,2,20211003,69,4
637,172,12,20230820,41,4
638,31,12,20241108,66,5
639,235,4,20240317,37,2
640,49,1,20231216,6,3
641,228,12,20240808,32,3
642,181,2,20210911,80,4
643,61,8,20220821,97,1
644,171,14,20211211,50,5
645,75,3,20240807,21,2
646,165,8,20221103,95,2
647,46,11,20231106,29,2
648,39,11,20210922,43,4
649,6,8,20221110,39,2
650,61,2,20231206,72,5
651,13,5,20240909,5,4
652,28,3,20210611,11,4
653,122,10,20230224,72,1
654,211,10,20211002,33,2
655,215,6,20230326,48,3
656,175,11,20231106,1,4
657,133,13,20220508,73,3
658,199,2,20230501,47,4
659,155,11,20240917,59,1
660,63,5,20240915,57,1
661,74,7,20221017,97,5
662,80,10,20210410,9,2
663,59,3,20230803,32,2
664,18,3,20211220,61,4
665,25,14,20240120,64,1
666,36,7,20230625,22,5
667,205,4,20240621,98,1
668,241,7,20230901,71,2
669,55,9,20221222,19,1
670,46,14,20230228,36,5
671,240,8,20230709,15,2
672,202,4,20240910,1,1
673,61,1,20230618,21,3
674,103,9,20220722,89,4
675,162,9,20220809,7,5
676,225,5,20220114,3,4
677,183,14,20240812,28,5
678,137,13,20220407,14,5
679,31,9,20221005,54,2
680,20,7,20241025,43,2
681,89,5,20230601,22,5
682,52,5,20241209,74,3
683,3,4,20210204,27,2
684,121,8,20230402,15,4
685,204,14,20240809,73,4
686,55,2,20231005,83,3
687,53,5,20230910,1,3
688,197,9,20240807,2,1
689,213,1,20221219,21,4
690,164,7,20240321,82,2
691,83,6,20221226,88,5
692,233,6,20221101,47,1
693,154,10,20220227,68,5
694,213,7,20230303,91,3
695,18,9,20230901,24,1
696,73,9,20221125,6,4
697,190,9,20241007,59,4
698,162,4,20241023,86,4
699,29,5,20230111,77,4
700,136,6,20240706,7,4
701,216,5,20210308,73,1
702,122,5,20230502,79,2
703,135,3,20210412,26,2
704,202,13,20230820,63,3
705,199,9,20230926,4,5
706,5,1,20221024,64,1
707,82,5,20230310,72,2
708,244,3,20220307,81,3
709,144,6,20210618,42,2
710,57,11,20240316,86,3
711,207,5,20241028,83,5
712,128,13,20220803,58,3
713,246,13,20211104,98,3
714,228,5,20220220,25,1
715,229,13,20230518,31,5
716,201,3,20231019,54,1
717,202,7,20241010,20,1
718,100,4,20210820,68,2
719,161,14,20240421,44,1
720,174,12,20220618,73,3
721,173,13,20230703,22,3
722,229,12,20210706,20,2
723,158,1,20210404,68,2
724,62,7,20220613,51,4
725,190,6,20240207,68,1
726,250,2,20230507,35,5
727,17,5,20210103,99,5
728,229,4,20211211,40,1
729,93,8,20210104,0,5
730,18,5,20210118,45,5
731,115,8,20220712,16,2
732,192,4,20240607,28,2
733,109,1,20210820,78,1
734,250,14,20220223,44,2
735,247,6,20241105,37,2
736,220,7,20221124,7,3
737,2,13,20240415,20,3
738,69,5,20210518,35,4
739,166,1,20210612,1,5
740,130,8,20240917,73,4
741,16,13,20210223,79,1
742,202,9,20230716,7,5
743,48,12,20210701,90,1
744,47,5,20230524,13,5
745,66,5,20230419,35,5
746,180,9,20220708,63,5
747,96,4,20240828,86,3
748,2,6,20210821,4,3
749,40,13,20220109,4,1
750,196,6,20220110,22,1
751,98,11,20230614,84,2
752,166,14,20220702,77,1
753,139,14,20240209,31,5
754,195,13,20210610,29,1
755,70,12,20241123,52,5
756,114,12,20220608,59,1
757,167,8,20241211,31,4
758,112,1,20220902,42,2
759,236,12,20240612,17,2
760,72,8,20210306,63,1
761,7,6,20210501,66,4
762,24,7,20230313,32,4
763,2,5,20221028,72,2
764,245,10,20230101,70,3
765,89,10,20211120,71,3
766,66,4,20221118,52,1
767,181,6,20230518,98,2
768,161,4,20220313,97,5
769,73,2,20221227,99,1
770,87,13,20210314,19,2
771,114,4,20210203,49,3
772,170,13,20220307,80,5
773,49,11,20240820,88,2
774,83,3,20211028,90,2
775,249,14,20230427,85,2
776,17,1,20241127,14,2
777,217,1,20210215,33,2
778,232,13,20210601,62,5
779,123,9,20211101,69,3
780,158,4,20230207,36,2
781,244,3,20220426,3,4
782,36,9,20231127,88,1
783,246,9,20210209,83,5
784,55,2,20220305,9,2
785,5,10,20240819,68,4
786,69,14,20240316,90,2
787,80,9,20230413,80,2
788,61,3,20210109,33,1
789,131,7,20210923,80,4
790,126,1,20221207,30,5
791,174,5,20221028,17,4
792,26,7,20240215,30,2
793,101,9,20230224,11,1
794,100,14,20231215,57,5
795,194,8,20220527,29,2
796,127,9,20210302,41,4
797,176,10,20220716,60,4
798,70,4,20220804,46,5
799,40,13,20210317,65,5
800,105,2,20231103,4,3
801,110,6,20220325,95,2
802,121,1,20220806,78,5
803,25,6,20221212,17,4
804,232,2,20210601,99,5
805,220,2,20240409,9,3
